Name des Elements;Name des Elements (nach IUPAC);Symbol;Protonenzahl;Masse;Dichte;Schmelztemperatur;Sidetemperatur;Zahl natürlicher Isotope;Erste Ionisierungsenergie;Ionenradius;Kovalenzradius;Gitterenergie;linearer Ausdehungskoeffizient;Elastizitätsmodul;Elektronenkonfiguration;Kristallstruktur
Hafnium;Hafnium;Hf;72;178,490  ;13,31;2227,0;4602,0;6;7,00;81;144;6,350;;10,90;[Xe]4f14 5d2 6s2;h
Tantal;Tantalum;Ta;73;180,948  ;16,68;2996,0;5425,0;2;7,89;73;134;8,089;6,5;20,00;[Xe]4f14 5d3 6s2;krz
Wolfram;Tungsten;W;74;183,840  ;19,26;3410,0;5660,0;5;7,98;68;130;8,660;4,3;32,32;[Xe]4f14 5f4 6s2;krz
Rhenium;Rhenium;Re;75;186,207  ;21,03;3180,0;5627,0;2;7,88;0;128;8,100;;37,20;[Xe]4f14 5d5 6s2;h
Osmium;Osmium;Os;76;190,230  ;22,61;3045,0;5300,0;7;8,70;67;126;8,000;6,6;41,80;[Xe]4f14 5d6 6s2;h
Iridium;Iridium;Ir;77;192,217  ;22,65;2410,0;4130,0;2;9,10;66;127;6,930;6,6;35,50;[Xe]4f14 5d7 6s2;kfz
Platin;Platinum;Pt;78;195,078  ;21,45;1772,0;3827,0;6;9,00;96;130;5,852;9,0;27,83;[Xe]4f14 5d9 6s;kfz
Gold;Gold;Au;79;196,967  ;19,32;1064,4;3080,0;1;9,23;137;134;3,780;14,3;17,32;[Xe]4f14 5d10 6s;kfz
Quecksilber;Mercury;Hg;80;200,590  ;13,55;-39,0;356,6;7;10,44;110;144;0,694;;3,82;[Xe]4f14 5d10 6s2;r
Thallium;Thallium;Tl;81;204,383  ;11,85;303,5;1457,0;2;6,11;95;155;1,870;29,0;3,53;[Xe]4f14 5d10 6s2 6p;h
Blei;Lead;Pb;82;207,200  ;11,34;327,5;1740,0;4;7,42;84;154;2,040;29,4;4,30;[Xe]4f14 5d10 6s2 6p2;kfz
Bismut;Bismuth;Bi;83;208,980  ;9,80;271,3;1560,0;1;7,29;120;146;2,150;13,5;3,15;[Xe]4f14 5d10 6s2 6p3;r
Polonium;Polonium;Po;84;208,982  ;9,20;254,0;962,0;7r;8,42;;146;3,000;;2,60;[Xe]4f14 5d10 6s2 6p4;m
Astat(in);Astatine;At;85;209,987  ;;302,0;337,0;4r;9,50;;145;;;;[Xe]4f14 5d10 6s2 6p5;?
Radon;Radon;Rn;86;222,018  ;9,23;-71,0;-61,8;4r;10,75;;;;;;[Xe]4f14 5d10 6s2 6p6;kfz
Francium;Francium;Fr;87;223,020  ;;27,0;677,0;1r;4,00;176;;;;0,20;[Rn]7s;krz
Radium;Radium;Ra;88;226,025  ;5,50;700,0;1140,0;4r;5,28;140;;;;1,32;[Rn]7s2;krz
Actinium;Actinium;Ac;89;227,028  ;10,07;1050,0;3200,0;2r;6,90;118;;;;2,50;[Rn]6d 7s2;kfz
Thorium;Thorium;Th;90;232,038  ;11,72;1750,0;4790,0;2;6,31;114;165;5,930;11,0;5,43;[Rn]6d2 7s2;kfz
Protactinium;Protactinium;Pa;91;231,036  ;15,37;1554,0;;2r;5,89;112;;5,460;;7,60;[Rn]5f2 6d 7s2;t
Uran;Uranium;U;92;238,029  ;18,97;1132,3;3818,0;3;6,08;111;142;5,405;;9,87;[Rn]5f3 6d 7s2;or
Neptunium;Neptunium;Np;93;237,048  ;20,48;640,0;;r;6,27;109;;4,550;;6,80;[Rn]5f4 6d 7s2;or
Plutonium;Plutonium;Pu;94;244,064  ;19,74;641,0;;r;6,03;107;;4,000;;5,40;[Rn]5f6 7s2;m
Americium;Americium;Am;95;243,061  ;13,67;994,0;;0;5,97;106;;2,600;;;[Rn]5f7 7s2;h
Curium;Curium;Cm;96;247,070  ;13,51;1340,0;;0;5,99;;;;;;[Rn]5f7 6d 7s2;h
Berkelium;Berkelium;Bk;97;247,070  ;13,25;986,0;;0;6,20;;;;;;[Rn]5f9 7s2;?
Californium;Californium;Cf;98;251,080  ;15,10;900,0;;0;6,28;;;;;;[Rn]5f10 7s2;?
